timestamp,open,high,low,close,volume
2026-04-22 12:00:00-04:00,181.62,181.93,181.56,181.85,2800
2026-04-22 13:00:00-04:00,181.81,181.92,181.7,181.75,4600
2026-04-22 14:00:00-04:00,181.76,182.22,181.76,182.16,6800
2026-04-22 15:00:00-04:00,181.97,182.15,181.95,182.02,3600
2026-04-22 16:00:00-04:00,181.87,182.53,181.87,182.53,5800
2026-04-23 10:00:00-04:00,181.8,182.53,181.8,182.15,3900
2026-04-23 11:00:00-04:00,182.04,182.67,181.95,182.67,3600
2026-04-23 12:00:00-04:00,182.67,182.97,182.53,182.58,2800
2026-04-23 13:00:00-04:00,182.63,182.68,182.48,182.68,2100
2026-04-23 14:00:00-04:00,182.62,182.62,180.0,181.14,50400
2026-04-23 15:00:00-04:00,181.46,181.67,181.03,181.03,3300
2026-04-23 16:00:00-04:00,181.29,181.61,181.03,181.61,35700
2026-04-24 10:00:00-04:00,183.41,183.41,183.0,183.25,800
2026-04-24 11:00:00-04:00,183.41,184.0,183.16,183.94,8300
2026-04-24 12:00:00-04:00,184.0,184.73,183.95,184.61,14300
2026-04-24 13:00:00-04:00,184.56,184.83,184.44,184.76,4000
2026-04-24 14:00:00-04:00,184.76,185.02,184.53,184.98,6200
2026-04-24 15:00:00-04:00,184.89,184.89,184.58,184.69,2500
2026-04-24 16:00:00-04:00,184.86,185.02,184.74,184.98,5700
2026-04-27 10:00:00-04:00,184.85,184.85,184.1,184.63,2600
2026-04-27 11:00:00-04:00,184.54,184.54,184.1,184.31,10100
2026-04-27 12:00:00-04:00,184.38,184.4,183.99,184.27,9800
2026-04-27 13:00:00-04:00,184.29,184.55,184.29,184.53,900
2026-04-27 14:00:00-04:00,184.55,184.78,184.48,184.77,3000
2026-04-27 15:00:00-04:00,184.72,184.79,184.72,184.72,600
2026-04-27 16:00:00-04:00,184.78,184.91,184.75,184.88,1500
2026-04-28 10:00:00-04:00,183.24,183.63,183.0,183.43,5800
2026-04-28 11:00:00-04:00,183.33,183.51,182.19,182.51,15900
2026-04-28 12:00:00-04:00,182.76,182.76,182.15,182.37,6900
2026-04-28 13:00:00-04:00,182.43,182.57,182.31,182.44,1800
2026-04-28 14:00:00-04:00,182.7,183.0,182.47,183.0,3300
2026-04-28 15:00:00-04:00,183.0,183.3,182.87,183.3,5300
2026-04-28 16:00:00-04:00,183.55,183.55,183.14,183.14,7900
2026-04-29 10:00:00-04:00,183.5,183.5,183.0,183.5,3000
2026-04-29 11:00:00-04:00,183.45,184.0,183.37,184.0,1600
2026-04-29 12:00:00-04:00,184.0,184.0,183.45,183.63,11200
2026-04-29 13:00:00-04:00,183.66,183.75,183.11,183.38,2800
2026-04-29 14:00:00-04:00,183.38,183.7,183.34,183.7,4000
2026-04-29 15:00:00-04:00,183.33,183.86,183.33,183.86,3200
2026-04-29 16:00:00-04:00,183.85,184.2,183.83,184.2,2600
2026-04-30 10:00:00-04:00,185.17,185.17,183.91,183.91,4000
2026-04-30 11:00:00-04:00,183.95,184.27,183.11,184.27,12900
2026-04-30 12:00:00-04:00,184.44,184.79,184.23,184.49,5000
2026-04-30 13:00:00-04:00,184.45,184.7,184.27,184.27,1800
2026-04-30 14:00:00-04:00,184.66,185.5,184.66,185.5,6100
2026-04-30 15:00:00-04:00,185.62,185.73,185.51,185.51,2900
2026-04-30 16:00:00-04:00,185.65,185.92,185.65,185.76,5300
2026-05-01 10:00:00-04:00,186.17,187.63,186.17,187.63,25300
2026-05-01 11:00:00-04:00,187.82,187.93,186.93,187.43,8300
2026-05-01 12:00:00-04:00,187.31,187.97,187.1,187.84,10600
2026-05-01 13:00:00-04:00,187.71,187.71,187.32,187.57,4800
2026-05-01 14:00:00-04:00,187.53,187.83,187.49,187.82,3200
2026-05-01 15:00:00-04:00,187.74,187.74,187.25,187.25,9200
2026-05-01 16:00:00-04:00,187.45,187.85,187.45,187.47,6500
2026-05-04 10:00:00-04:00,187.51,187.76,187.43,187.58,2400
2026-05-04 11:00:00-04:00,187.85,188.15,187.6,187.81,8000
2026-05-04 12:00:00-04:00,187.68,187.92,186.75,186.9,12600
2026-05-04 13:00:00-04:00,186.65,186.85,186.1,186.64,15300
2026-05-04 14:00:00-04:00,186.71,187.23,186.71,187.02,2800
2026-05-04 15:00:00-04:00,187.3,187.38,186.87,186.91,1900
2026-05-04 16:00:00-04:00,186.97,187.18,186.96,187.12,7100
2026-05-05 10:00:00-04:00,188.53,189.27,188.47,189.2,4900
2026-05-05 11:00:00-04:00,189.25,189.55,188.93,189.35,12400
2026-05-05 12:00:00-04:00,189.26,189.61,189.25,189.6,2000
2026-05-05 13:00:00-04:00,189.5,189.54,189.26,189.41,2400
2026-05-05 14:00:00-04:00,189.47,189.64,189.43,189.64,2700
2026-05-05 15:00:00-04:00,189.86,189.86,189.8,189.8,600
2026-05-05 16:00:00-04:00,189.88,189.88,189.43,189.53,9000
2026-05-06 10:00:00-04:00,191.28,192.0,191.28,191.77,4200
2026-05-06 11:00:00-04:00,191.5,192.19,191.3,192.19,7700
2026-05-06 12:00:00-04:00,192.38,192.54,192.25,192.5,7700
2026-05-06 13:00:00-04:00,192.5,192.58,192.19,192.19,5400
2026-05-06 14:00:00-04:00,192.41,192.7,192.41,192.7,2300
2026-05-06 15:00:00-04:00,192.75,193.07,192.75,192.95,900
2026-05-06 16:00:00-04:00,193.05,193.51,193.05,193.48,4000
2026-05-07 10:00:00-04:00,193.81,194.0,193.7,194.0,2800
2026-05-07 11:00:00-04:00,194.33,195.01,194.31,194.96,7400
2026-05-07 12:00:00-04:00,194.56,194.64,193.89,193.91,4400
2026-05-07 13:00:00-04:00,193.98,193.98,193.14,193.31,3500
2026-05-07 14:00:00-04:00,193.4,193.4,192.52,193.36,13300
2026-05-07 15:00:00-04:00,193.39,193.48,192.63,192.95,17500
2026-05-07 16:00:00-04:00,192.98,193.31,192.71,193.12,6400
2026-05-08 10:00:00-04:00,194.63,195.95,194.63,195.95,1400
2026-05-08 11:00:00-04:00,196.32,196.62,196.14,196.62,5500
2026-05-08 12:00:00-04:00,196.65,196.95,196.5,196.77,5900
2026-05-08 13:00:00-04:00,196.84,197.17,196.83,197.17,6200
2026-05-08 14:00:00-04:00,197.16,197.6,197.16,197.24,3200
2026-05-08 15:00:00-04:00,197.31,197.51,197.2,197.2,10700
2026-05-08 16:00:00-04:00,197.51,197.82,197.47,197.75,6800
2026-05-11 10:00:00-04:00,197.4,198.3,197.4,198.0,1700
2026-05-11 11:00:00-04:00,197.75,198.3,197.29,198.2,4200
2026-05-11 12:00:00-04:00,198.19,198.65,198.0,198.65,2100
2026-05-11 13:00:00-04:00,198.69,198.75,198.13,198.3,5200
2026-05-11 14:00:00-04:00,198.29,198.64,198.16,198.62,1600
2026-05-11 15:00:00-04:00,198.65,198.69,198.21,198.21,34900
2026-05-11 16:00:00-04:00,198.2,198.43,198.06,198.43,13300
2026-05-12 10:00:00-04:00,197.11,197.37,196.34,196.34,7400
2026-05-12 11:00:00-04:00,196.25,196.99,195.55,195.55,14000
2026-05-12 12:00:00-04:00,195.5,195.59,194.41,194.41,9300
2026-05-12 13:00:00-04:00,194.47,194.79,193.81,193.81,3500
2026-05-12 14:00:00-04:00,193.94,194.94,193.93,194.94,5600
2026-05-12 15:00:00-04:00,195.07,195.55,195.03,195.25,5900
2026-05-12 16:00:00-04:00,195.39,196.73,195.39,196.68,6700
2026-05-13 10:00:00-04:00,197.49,197.49,196.15,197.0,1800
2026-05-13 11:00:00-04:00,196.67,197.66,196.49,197.66,4200
2026-05-13 12:00:00-04:00,197.86,198.13,197.56,197.7,1400
2026-05-13 13:00:00-04:00,197.72,198.57,197.71,198.57,1900
2026-05-13 14:00:00-04:00,198.75,198.88,198.54,198.54,3000
2026-05-13 15:00:00-04:00,198.77,199.34,198.77,198.83,4600
2026-05-13 16:00:00-04:00,198.88,199.14,198.71,198.76,5900
2026-05-14 10:00:00-04:00,199.12,200.0,198.76,199.75,6000
2026-05-14 11:00:00-04:00,199.66,200.27,199.34,200.27,2300
2026-05-14 12:00:00-04:00,200.14,200.8,200.14,200.8,3200
2026-05-14 13:00:00-04:00,200.82,200.83,200.36,200.51,3500
2026-05-14 14:00:00-04:00,200.42,200.63,199.71,200.63,9600
2026-05-14 15:00:00-04:00,200.48,200.48,200.06,200.43,11800
2026-05-14 16:00:00-04:00,200.53,200.53,200.31,200.31,4200
2026-05-15 10:00:00-04:00,197.65,197.65,196.5,197.0,6200
2026-05-15 11:00:00-04:00,196.68,198.12,196.68,197.55,7300
2026-05-15 12:00:00-04:00,197.74,198.16,197.27,197.59,3700
2026-05-15 13:00:00-04:00,197.66,198.02,197.47,197.76,2900
2026-05-15 14:00:00-04:00,198.57,198.57,198.57,198.57,100
2026-05-15 15:00:00-04:00,198.8,198.9,197.9,198.28,23200
2026-05-15 16:00:00-04:00,198.19,198.19,197.15,197.25,8800
2026-05-19 10:00:00-04:00,194.75,196.08,194.75,195.28,10100
2026-05-19 11:00:00-04:00,195.22,195.22,193.4,194.26,8300
2026-05-19 12:00:00-04:00,194.38,194.7,194.0,194.5,35500
2026-05-19 13:00:00-04:00,194.59,195.79,194.59,195.79,1400
2026-05-19 14:00:00-04:00,195.97,196.3,195.97,196.01,900
2026-05-19 15:00:00-04:00,196.22,196.29,195.36,195.38,1900
2026-05-19 16:00:00-04:00,195.54,195.88,194.8,194.82,12800
2026-05-20 10:00:00-04:00,196.27,196.88,195.96,196.22,11300
2026-05-20 11:00:00-04:00,196.21,197.43,195.94,197.43,15800
2026-05-20 12:00:00-04:00,197.48,198.12,197.31,197.91,11400
2026-05-20 13:00:00-04:00,197.75,197.75,197.21,197.42,9300
