timestamp,open,high,low,close,volume
2026-05-11 05:00:00-04:00,606.89,608.0,606.21,607.43,18693
2026-05-11 06:00:00-04:00,607.25,607.8001,607.0,607.0724,3044
2026-05-11 07:00:00-04:00,607.0671,607.5,606.5,606.79,5690
2026-05-11 08:00:00-04:00,606.99,607.1653,604.16,605.3,32326
2026-05-11 09:00:00-04:00,605.2746,605.93,604.59,605.035,19659
2026-05-11 10:00:00-04:00,604.65,605.4897,599.8001,601.11,1993311
2026-05-11 11:00:00-04:00,601.2499,603.68,600.1,601.69,1655840
2026-05-11 12:00:00-04:00,601.64,604.61,600.15,603.21,1337621
2026-05-11 13:00:00-04:00,603.2751,604.39,601.78,602.425,801900
2026-05-11 14:00:00-04:00,602.445,603.15,599.88,602.97,1001166
2026-05-11 15:00:00-04:00,602.97,603.4395,598.66,599.26,1256397
2026-05-11 16:00:00-04:00,599.29,599.9,598.0801,598.86,1650386
2026-05-11 17:00:00-04:00,598.86,599.49,598.08,599.25,1657503
2026-05-11 18:00:00-04:00,599.2,599.89,599.1061,599.65,16520
2026-05-11 19:00:00-04:00,599.65,599.8,599.17,599.599,24762
2026-05-11 20:00:00-04:00,599.56,599.7,599.21,599.3911,12603
2026-05-12 05:00:00-04:00,597.88,599.2,595.76,596.05,28187
2026-05-12 06:00:00-04:00,596.1,596.89,596.05,596.37,4114
2026-05-12 07:00:00-04:00,596.275,596.75,596.275,596.3773,1916
2026-05-12 08:00:00-04:00,596.89,597.3,594.94,595.6,38092
2026-05-12 09:00:00-04:00,595.6,595.88,593.98,595.425,51584
2026-05-12 10:00:00-04:00,595.4658,601.0,592.6,600.07,1313731
2026-05-12 11:00:00-04:00,600.07,603.745,597.7,601.06,1530445
2026-05-12 12:00:00-04:00,601.06,601.89,599.5,600.475,747804
2026-05-12 13:00:00-04:00,600.53,601.54,599.29,599.93,641750
2026-05-12 14:00:00-04:00,600.0,600.529,596.5271,600.45,857763
2026-05-12 15:00:00-04:00,600.36,600.86,599.0,599.75,549589
2026-05-12 16:00:00-04:00,599.825,603.4,598.93,603.13,1282526
2026-05-12 17:00:00-04:00,603.13,603.13,601.4713,602.31,1263347
