timestamp,open,high,low,close,volume
2026-05-11 05:00:00-04:00,214.8,214.97,213.11,213.76,297039
2026-05-11 06:00:00-04:00,213.8,214.19,213.31,213.47,80958
2026-05-11 07:00:00-04:00,213.55,213.867,213.01,213.48,90317
2026-05-11 08:00:00-04:00,213.5,214.45,213.48,214.06,345050
2026-05-11 09:00:00-04:00,214.06,214.2,213.3909,213.49,385072
2026-05-11 10:00:00-04:00,213.45,220.9,213.21,216.94,23960550
2026-05-11 11:00:00-04:00,216.97,222.19,216.9181,221.61,26276008
2026-05-11 12:00:00-04:00,221.59,222.3,220.6,221.96,15150643
2026-05-11 13:00:00-04:00,221.98,222.3,220.38,220.63,10855917
2026-05-11 14:00:00-04:00,220.63,221.27,219.88,220.44,7206276
2026-05-11 15:00:00-04:00,220.45,221.565,219.97,220.07,8297735
2026-05-11 16:00:00-04:00,220.08,220.58,218.91,219.45,13508956
2026-05-11 17:00:00-04:00,219.43,219.74,218.81,219.2,14474893
2026-05-11 18:00:00-04:00,219.2052,219.41,218.9465,219.34,111218
2026-05-11 19:00:00-04:00,219.37,219.89,219.37,219.6,233983
2026-05-11 20:00:00-04:00,219.62,220.1,219.6,219.71,252619
2026-05-12 05:00:00-04:00,217.51,218.4514,216.32,217.38,322050
2026-05-12 06:00:00-04:00,217.35,218.26,217.01,218.05,94816
2026-05-12 07:00:00-04:00,218.04,218.39,217.37,217.61,62048
2026-05-12 08:00:00-04:00,217.75,217.99,217.25,217.7199,401101
2026-05-12 09:00:00-04:00,217.7193,219.28,217.01,218.93,659666
2026-05-12 10:00:00-04:00,218.9521,223.75,217.01,220.35,21921040
2026-05-12 11:00:00-04:00,220.2932,221.78,217.23,217.355,19464173
2026-05-12 12:00:00-04:00,217.37,217.99,214.92,216.8601,18514597
2026-05-12 13:00:00-04:00,216.91,218.26,215.68,215.9001,9848296
2026-05-12 14:00:00-04:00,215.92,218.85,215.53,218.605,10099830
2026-05-12 15:00:00-04:00,218.59,220.35,217.77,219.528,9371513
2026-05-12 16:00:00-04:00,219.525,221.7399,219.525,220.87,15619777
2026-05-12 17:00:00-04:00,220.87,220.91,219.9008,220.13,13373629
2026-05-12 18:00:00-04:00,220.15,220.2,219.9,220.0,135865
2026-05-12 19:00:00-04:00,219.92,220.3,219.68,219.9197,135687
2026-05-12 20:00:00-04:00,219.98,220.16,219.23,219.48,221811
2026-05-13 05:00:00-04:00,224.69,226.28,223.4,225.8,859042
2026-05-13 06:00:00-04:00,225.72,226.66,225.48,226.27,229025
2026-05-13 07:00:00-04:00,226.22,226.65,225.89,226.02,231978
2026-05-13 08:00:00-04:00,226.045,226.07,224.8,225.66,1085831
2026-05-13 09:00:00-04:00,225.6998,226.2,223.76,223.987,1304596
2026-05-13 10:00:00-04:00,223.94,227.16,221.5653,224.03,21239511
2026-05-13 11:00:00-04:00,224.1,226.46,223.06,226.415,17112044
2026-05-13 12:00:00-04:00,226.415,227.57,225.71,226.565,17072093
2026-05-13 13:00:00-04:00,226.56,227.84,226.3831,226.81,10684528
2026-05-13 14:00:00-04:00,226.8,227.34,225.41,225.46,8229409
2026-05-13 15:00:00-04:00,225.47,227.43,225.43,226.4591,8678138
2026-05-13 16:00:00-04:00,226.4599,227.16,225.08,225.87,12520925
2026-05-13 17:00:00-04:00,225.86,226.75,225.76,226.5499,12844109
2026-05-13 18:00:00-04:00,226.5496,226.85,226.2,226.849,217792
2026-05-13 19:00:00-04:00,226.86,227.49,226.55,227.37,403578
2026-05-13 20:00:00-04:00,227.32,227.8,227.12,227.7992,465558
2026-05-14 05:00:00-04:00,231.34,233.22,226.27,230.7,2021090
2026-05-14 06:00:00-04:00,230.8164,231.18,229.36,230.24,276131
2026-05-14 07:00:00-04:00,230.31,231.3,229.6,229.77,328817
2026-05-14 08:00:00-04:00,229.77,230.6,229.1201,230.1417,1013501
2026-05-14 09:00:00-04:00,230.0005,231.3,229.75,229.9,1075775
2026-05-14 10:00:00-04:00,229.8,233.27,229.3368,230.69,25603227
2026-05-14 11:00:00-04:00,230.71,236.05,230.62,234.5899,28763323
2026-05-14 12:00:00-04:00,234.55,236.47,234.04,234.88,17911886
2026-05-14 13:00:00-04:00,234.88,236.0,234.46,235.5,10890270
2026-05-14 14:00:00-04:00,235.505,235.9119,232.68,234.7709,12625847
2026-05-14 15:00:00-04:00,234.76,236.43,233.82,236.06,10877490
2026-05-14 16:00:00-04:00,236.0699,236.54,235.14,235.75,15532813
2026-05-14 17:00:00-04:00,235.75,236.1657,234.1964,235.41,10697764
2026-05-14 18:00:00-04:00,235.42,236.07,235.1,235.9496,334888
2026-05-14 19:00:00-04:00,235.99,236.49,235.84,236.44,498468
2026-05-14 20:00:00-04:00,236.43,237.96,236.43,237.8674,773198
2026-05-14 21:00:00-04:00,237.8674,237.8674,237.8674,237.8674,300
2026-05-15 05:00:00-04:00,233.0,236.98,229.8113,230.2,1241410
2026-05-15 06:00:00-04:00,230.0,230.32,228.02,228.4,333552
2026-05-15 07:00:00-04:00,228.65,231.5,228.1,230.96,367834
2026-05-15 08:00:00-04:00,231.14,232.02,230.3562,230.37,1015889
2026-05-15 09:00:00-04:00,230.4,230.54,228.295,229.33,1217944
2026-05-15 10:00:00-04:00,229.27,230.18,224.24,225.22,22091394
2026-05-15 11:00:00-04:00,225.22,228.69,224.93,226.09,18515050
2026-05-15 12:00:00-04:00,226.09,229.18,225.68,228.12,12497571
2026-05-15 13:00:00-04:00,228.11,228.61,227.06,227.905,7729170
2026-05-15 14:00:00-04:00,227.91,230.91,227.73,230.825,9133585
2026-05-15 15:00:00-04:00,230.82,231.5,228.15,228.985,11664436
2026-05-15 16:00:00-04:00,229.0,229.1,224.89,225.28,18580844
2026-05-15 17:00:00-04:00,225.28,225.43,224.38,225.0748,18993460
2026-05-15 18:00:00-04:00,225.0717,225.17,224.6639,224.75,313524
2026-05-15 19:00:00-04:00,224.75,224.96,224.51,224.66,262392
2026-05-15 20:00:00-04:00,224.6695,224.7322,224.2999,224.41,343304
2026-05-18 05:00:00-04:00,224.5,228.55,222.8,228.42,677433
2026-05-18 06:00:00-04:00,228.425,228.5,227.1,227.56,140493
2026-05-18 07:00:00-04:00,227.53,227.53,225.9,226.0078,131802
2026-05-18 08:00:00-04:00,226.025,228.52,225.5,228.04,904517
2026-05-18 09:00:00-04:00,228.0802,230.6329,227.85,229.9002,1147189
2026-05-18 10:00:00-04:00,229.89,230.05,223.57,225.49,18272862
2026-05-18 11:00:00-04:00,225.51,226.26,220.41,222.18,20001073
2026-05-18 12:00:00-04:00,222.1418,223.43,221.54,222.5,10276643
2026-05-18 13:00:00-04:00,222.55,223.16,219.6402,222.135,11123153
2026-05-18 14:00:00-04:00,222.135,222.54,220.72,221.4901,7011978
2026-05-18 15:00:00-04:00,221.5,221.51,218.37,219.61,12231446
2026-05-18 16:00:00-04:00,219.62,222.37,219.56,222.25,13747871
2026-05-18 17:00:00-04:00,222.305,222.7,221.91,222.34,9999011
2026-05-18 18:00:00-04:00,222.34,223.1,222.25,223.0499,249354
2026-05-18 19:00:00-04:00,223.09,223.76,223.05,223.37,333705
2026-05-18 20:00:00-04:00,223.38,223.65,222.7,222.75,314477
2026-05-18 21:00:00-04:00,222.75,222.75,222.75,222.75,716
2026-05-19 05:00:00-04:00,222.75,222.84,220.05,221.0,290869
2026-05-19 06:00:00-04:00,221.09,221.09,219.6,220.58,97651
2026-05-19 07:00:00-04:00,220.53,221.0,219.74,220.73,101574
2026-05-19 08:00:00-04:00,220.6,220.9897,220.12,220.12,343615
2026-05-19 09:00:00-04:00,220.23,221.15,219.75,220.7,403735
2026-05-19 10:00:00-04:00,220.72,223.33,218.9153,220.855,13062514
2026-05-19 11:00:00-04:00,220.88,221.03,217.91,220.93,16871672
2026-05-19 12:00:00-04:00,220.93,221.99,220.0228,220.64,10445043
2026-05-19 13:00:00-04:00,220.66,223.4,220.2901,223.1,9629895
2026-05-19 14:00:00-04:00,223.1,224.48,222.07,223.1,9207290
2026-05-19 15:00:00-04:00,223.11,223.67,222.18,222.48,6971441
2026-05-19 16:00:00-04:00,222.48,222.78,219.0,220.64,16155098
2026-05-19 17:00:00-04:00,220.64,222.19,220.51,220.85,15530500
2026-05-19 18:00:00-04:00,221.07,221.99,221.0,221.7752,212634
2026-05-19 19:00:00-04:00,221.8574,222.13,221.2,221.515,237551
2026-05-19 20:00:00-04:00,221.53,222.1641,221.4,221.54,294346
2026-05-19 21:00:00-04:00,221.54,221.54,221.54,221.54,1200
2026-05-20 05:00:00-04:00,223.29,224.1,221.09,223.51,481163
2026-05-20 06:00:00-04:00,223.5,224.66,223.47,224.31,148832
2026-05-20 07:00:00-04:00,224.31,225.08,224.3,224.55,216262
2026-05-20 08:00:00-04:00,224.545,224.8,223.51,223.7509,714353
2026-05-20 09:00:00-04:00,223.76,224.45,223.7,223.91,579209
2026-05-20 10:00:00-04:00,223.85,224.48,220.495,221.97,14662689
2026-05-20 11:00:00-04:00,222.0,225.3,221.74,224.75,20451822
2026-05-20 12:00:00-04:00,224.74,226.13,224.21,224.945,12017148
2026-05-20 13:00:00-04:00,224.95,225.3,223.5,224.61,9001974
2026-05-20 14:00:00-04:00,224.61,225.16,224.2,224.48,6727222
2026-05-20 15:00:00-04:00,224.5,224.9,222.0307,222.74,11081688
2026-05-20 16:00:00-04:00,222.75,223.65,222.33,223.39,18853763
2026-05-20 17:00:00-04:00,223.35,226.93,216.25,222.46,25925727
2026-05-20 18:00:00-04:00,222.48,224.23,219.34,220.7448,4333054
2026-05-20 19:00:00-04:00,220.75,221.47,219.24,221.2502,2122609
2026-05-20 20:00:00-04:00,221.26,221.76,220.28,220.66,1041408
2026-05-20 21:00:00-04:00,220.66,220.66,220.66,220.66,300
2026-05-21 05:00:00-04:00,222.3,224.75,221.1,223.0,1230277
2026-05-21 06:00:00-04:00,223.0,224.69,222.9,224.22,293433
2026-05-21 07:00:00-04:00,224.19,225.1,222.5,223.34,513070
2026-05-21 08:00:00-04:00,223.31,224.63,222.6,223.16,1409494
2026-05-21 09:00:00-04:00,223.2,223.68,221.2,221.42,1451316
2026-05-21 10:00:00-04:00,221.5,227.3999,220.35,222.215,30891175
2026-05-21 11:00:00-04:00,222.25,224.75,217.93,219.36,31992530
2026-05-21 12:00:00-04:00,219.36,220.33,218.06,219.39,16014297
2026-05-21 13:00:00-04:00,219.4199,220.18,218.88,220.1401,10225654
2026-05-21 14:00:00-04:00,220.16,222.38,219.95,220.915,13852042
2026-05-21 15:00:00-04:00,220.915,221.48,218.62,219.06,11447348
2026-05-21 16:00:00-04:00,219.07,220.63,218.89,219.465,14772989
2026-05-21 17:00:00-04:00,219.5,219.85,219.16,219.51,13932058
2026-05-21 18:00:00-04:00,219.52,219.6599,219.3752,219.4984,242804
2026-05-21 19:00:00-04:00,219.51,219.89,219.28,219.743,289964
2026-05-21 20:00:00-04:00,219.75,220.18,219.7,220.1202,323820
2026-05-21 21:00:00-04:00,220.1202,220.1202,220.1202,220.1202,1500
2026-05-22 05:00:00-04:00,220.85,221.7,220.1493,220.7,397438
2026-05-22 06:00:00-04:00,220.7,220.72,219.71,220.39,145743
2026-05-22 07:00:00-04:00,220.4,220.4,219.22,219.75,111709
2026-05-22 08:00:00-04:00,219.78,220.45,219.75,220.23,363966
2026-05-22 09:00:00-04:00,220.25,221.0,220.2,220.64,547602
2026-05-22 10:00:00-04:00,220.69,221.5,217.2,217.95,20692159
2026-05-22 11:00:00-04:00,217.925,217.95,215.16,217.2,23678498
2026-05-22 12:00:00-04:00,217.195,218.32,216.84,217.32,12932292
2026-05-22 13:00:00-04:00,217.31,217.57,216.41,217.1199,8787410
2026-05-22 14:00:00-04:00,217.11,218.49,215.73,216.2,12644264
2026-05-22 15:00:00-04:00,216.2,216.4,215.41,215.98,10253483
2026-05-22 16:00:00-04:00,215.97,216.33,214.8,215.25,16768249
2026-05-22 17:00:00-04:00,215.24,217.5159,214.93,215.04,10928099
2026-05-22 18:00:00-04:00,215.0,215.08,214.9,215.05,329725
2026-05-22 19:00:00-04:00,215.05,215.06,214.5309,214.6302,278769
2026-05-22 20:00:00-04:00,214.65,214.78,214.25,214.2801,395387
2026-05-26 05:00:00-04:00,217.06,217.67,216.56,217.1881,294077
2026-05-26 06:00:00-04:00,217.22,217.78,216.97,217.72,95352
2026-05-26 07:00:00-04:00,217.76,218.45,217.5,217.5,210318
2026-05-26 08:00:00-04:00,217.5,218.27,217.4,218.0,801153
2026-05-26 09:00:00-04:00,218.0,218.36,215.868,217.93,758332
2026-05-26 10:00:00-04:00,217.9672,218.2,214.8,215.435,18729171
2026-05-26 11:00:00-04:00,215.47,218.18,214.28,215.535,22412361
2026-05-26 12:00:00-04:00,215.56,215.9,212.52,213.18,18902619
2026-05-26 13:00:00-04:00,213.18,213.94,212.0,213.6401,12623332
2026-05-26 14:00:00-04:00,213.645,214.117,212.91,213.13,7909752
2026-05-26 15:00:00-04:00,213.12,214.45,212.9033,213.25,8649216
2026-05-26 16:00:00-04:00,213.27,214.86,212.84,214.853,14944611
2026-05-26 17:00:00-04:00,214.86,215.03,214.1549,214.4,15365031
2026-05-26 18:00:00-04:00,214.4,214.86,214.35,214.4,176100
2026-05-26 19:00:00-04:00,214.3935,214.45,213.79,213.9826,257774
2026-05-26 20:00:00-04:00,213.99,214.1,213.8,213.95,239101
2026-05-27 05:00:00-04:00,213.79,215.135,212.64,214.69,375931
2026-05-27 06:00:00-04:00,214.74,215.65,214.3,215.57,139390
2026-05-27 07:00:00-04:00,215.57,216.2457,215.5,215.63,203188
2026-05-27 08:00:00-04:00,215.6,216.5,215.04,215.05,843725
2026-05-27 09:00:00-04:00,215.0205,216.15,214.81,215.2661,845264
2026-05-27 10:00:00-04:00,215.2402,215.45,210.2633,211.35,20619748
2026-05-27 11:00:00-04:00,211.33,211.62,208.96,208.98,22510474
2026-05-27 12:00:00-04:00,208.98,210.21,208.78,209.843,11032375
2026-05-27 13:00:00-04:00,209.83,212.12,209.55,211.605,11498063
2026-05-27 14:00:00-04:00,211.605,212.68,210.73,212.29,9293504
2026-05-27 15:00:00-04:00,212.27,213.32,212.13,212.81,7958822
2026-05-27 16:00:00-04:00,212.82,213.3,212.0,212.63,12257169
2026-05-27 17:00:00-04:00,212.62,212.67,212.25,212.4,13314510
2026-05-27 18:00:00-04:00,212.4,212.53,212.11,212.24,1006122
2026-05-27 19:00:00-04:00,212.3,212.4761,211.9068,212.05,204438
2026-05-27 20:00:00-04:00,212.0676,212.22,211.56,211.701,217573
2026-05-28 05:00:00-04:00,211.32,211.6861,209.21,211.4776,434213
2026-05-28 06:00:00-04:00,211.4,211.64,211.0,211.54,37004
2026-05-28 07:00:00-04:00,211.52,211.52,210.572,210.6705,64400
2026-05-28 08:00:00-04:00,210.7,210.7658,209.73,210.2873,430025
2026-05-28 09:00:00-04:00,210.34,211.9,210.16,211.72,458479
2026-05-28 10:00:00-04:00,211.7461,214.25,210.81,212.831,14517293
2026-05-28 11:00:00-04:00,212.86,214.29,211.51,212.29,15992876
2026-05-28 12:00:00-04:00,212.29,213.32,212.09,212.26,10597325
2026-05-28 13:00:00-04:00,212.26,213.89,212.1,213.632707,9786935
2026-05-28 14:00:00-04:00,213.63,215.5191,212.93,215.0899,11312755
2026-05-28 15:00:00-04:00,215.0841,215.37,214.18,214.38,9602510
2026-05-28 16:00:00-04:00,214.38,214.57,212.08,214.265,9900041
2026-05-28 17:00:00-04:00,214.255,214.69,213.82,213.9614,15427684
2026-05-28 18:00:00-04:00,213.96,214.56,213.72,214.1273,214065
2026-05-28 19:00:00-04:00,214.1,214.47,214.03,214.1,173936
2026-05-28 20:00:00-04:00,214.15,214.49,214.01,214.1759,234075
2026-05-29 05:00:00-04:00,215.3,215.6,214.13,214.82,322930
2026-05-29 06:00:00-04:00,214.78,215.075,214.6779,214.8,66818
2026-05-29 07:00:00-04:00,214.8062,214.9699,214.5,214.88,78016
2026-05-29 08:00:00-04:00,214.83,215.5,214.82,215.23,408362
2026-05-29 09:00:00-04:00,215.21,215.21,214.64,214.89,393987
2026-05-29 10:00:00-04:00,214.86,217.15,212.81,217.095,15664563
2026-05-29 11:00:00-04:00,217.1,217.35,214.36,215.14,20867137
2026-05-29 12:00:00-04:00,215.14,217.02,214.77,215.01,11313516
2026-05-29 13:00:00-04:00,215.02,217.52,215.018,216.59,10223781
2026-05-29 14:00:00-04:00,216.59,217.05,215.4,215.5036,6443758
2026-05-29 15:00:00-04:00,215.52,217.48,215.29,216.6999,9631072
2026-05-29 16:00:00-04:00,216.695,217.8599,211.53,211.53,32776153
2026-05-29 17:00:00-04:00,211.53,213.7183,211.14,212.48,2862144
2026-05-29 18:00:00-04:00,212.47,212.83,212.44,212.5,491723
2026-05-29 19:00:00-04:00,212.5,213.0,212.5,212.9414,422032
2026-05-29 20:00:00-04:00,212.98,212.98,212.31,212.49,383207
2026-06-01 05:00:00-04:00,215.77,217.3,214.3,215.21,1470706
2026-06-01 06:00:00-04:00,215.25,215.7,214.46,214.67,239610
2026-06-01 07:00:00-04:00,214.5449,216.3,214.44,216.0,440224
2026-06-01 08:00:00-04:00,216.0,216.68,215.4,215.7607,1420615
2026-06-01 09:00:00-04:00,215.7698,216.4,215.65,216.03,747256
2026-06-01 10:00:00-04:00,216.05,220.83,215.09,219.17,29975572
2026-06-01 11:00:00-04:00,219.17,222.17,218.53,219.64,26222207
2026-06-01 12:00:00-04:00,219.61,220.66,218.98,219.665,14265529
2026-06-01 13:00:00-04:00,219.64,222.4,219.61,222.0901,14152823
2026-06-01 14:00:00-04:00,222.11,224.03,221.36,223.5292,12190251
2026-06-01 15:00:00-04:00,223.52,224.8,223.08,223.985,14589965
2026-06-01 16:00:00-04:00,223.99,224.87,222.4,224.31,16958328
2026-06-01 17:00:00-04:00,224.3,224.86,224.11,224.4001,18471009
2026-06-01 18:00:00-04:00,224.4011,224.99,224.05,224.87,463830
2026-06-01 19:00:00-04:00,224.87,224.8931,223.51,224.06,419725
2026-06-01 20:00:00-04:00,224.06,224.2,223.59,223.97,314624
2026-06-02 05:00:00-04:00,225.33,235.0,222.44,226.9,1156858
2026-06-02 06:00:00-04:00,226.9,228.87,226.54,228.53,320457
2026-06-02 07:00:00-04:00,228.4504,229.23,227.27,227.27,344672
2026-06-02 08:00:00-04:00,227.24,228.55,226.71,227.33,1196294
2026-06-02 09:00:00-04:00,227.3293,227.5,226.48,226.9001,758909
2026-06-02 10:00:00-04:00,226.92,232.28,225.04,231.43,27270845
2026-06-02 11:00:00-04:00,231.5,231.95,225.35,226.126,25196552
2026-06-02 12:00:00-04:00,226.1299,227.14,224.72,225.46,15999761
2026-06-02 13:00:00-04:00,225.4799,225.94,224.15,225.265,11943940
2026-06-02 14:00:00-04:00,225.265,225.63,222.58,223.18,12348331
2026-06-02 15:00:00-04:00,223.1799,223.6399,221.9,222.64,9718114
2026-06-02 16:00:00-04:00,222.64,223.466,221.35,222.9,14644545
2026-06-02 17:00:00-04:00,222.89,224.866,222.53,222.82,620729
2026-06-02 18:00:00-04:00,222.82,222.89,222.2501,222.45,345578
2026-06-02 19:00:00-04:00,222.45,222.6,221.6539,221.67,280678
2026-06-02 20:00:00-04:00,221.8,221.88,220.8001,221.7913,544506
2026-06-03 05:00:00-04:00,222.52,223.23,221.5,221.7,323832
2026-06-03 06:00:00-04:00,221.7,221.83,220.84,221.1182,137136
2026-06-03 07:00:00-04:00,221.11,221.97,220.7,221.39,152228
2026-06-03 08:00:00-04:00,221.385,224.18,221.34,224.08,699316
2026-06-03 09:00:00-04:00,223.94,224.4,222.25,222.6,674892
2026-06-03 10:00:00-04:00,222.63,223.3,216.0456,217.225,19732000
2026-06-03 11:00:00-04:00,217.23,217.62,214.58,215.75,22806214
2026-06-03 12:00:00-04:00,215.74,217.55,215.71,216.935,13262600
2026-06-03 13:00:00-04:00,216.95,217.2,214.81,216.065,9301506
2026-06-03 14:00:00-04:00,216.06,216.1,215.15,215.64,6744517
2026-06-03 15:00:00-04:00,215.66,216.23,215.23,216.1,7112199
2026-06-03 16:00:00-04:00,216.09,216.6986,214.51,214.85,15580045
2026-06-03 17:00:00-04:00,214.86,215.2,214.54,215.0305,14825197
2026-06-03 18:00:00-04:00,215.0,215.5,213.24,214.3268,761861
2026-06-03 19:00:00-04:00,214.3,214.8,213.14,213.55,400562
